n,rho0,seed,rho,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
18,6,0,2,0.1746199131011963,0.1914200782775879,16.160113775000355,2.5303211610007565,5.4292244280004525,2.775090155999351,0.005574169539262017,0.005574197572116147,-0.02536131247270251,-0.02525368158824792,-0.02526149312037311,-0.02525121899462341,0.005574080202813128,0.005574087999216478,-0.02536131247270251,-0.02525368158824792,-0.02526149312037311,-0.02525121899462341,0.0016026862523704517,0.0019657161098403644,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
18,6,0,4,0.633742094039917,0.6802799701690674,15.05195728400031,1.2403644760015595,3.21610543099996,1.9262078150004527,0.00023530909601425423,0.0002353021509975189,-0.08348296502067791,-0.08348305562869222,-0.08348285555413068,-0.08348310711125692,0.00023513622225686406,0.00023516926591309918,-0.08348296502067791,-0.08348305562869222,-0.08348285555413068,-0.08348310711125692,0.07346667014508301,0.05647423274984366,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
18,6,1,2,0.22342896461486816,0.23408198356628418,17.931301561999135,2.2914395529987814,4.325068432999615,2.6166011089990207,0.009946610463344451,0.009946614686455716,-0.02531894961810992,-0.025194655278650155,-0.025201099436262597,-0.025191515825705963,0.009945819771479287,0.009946459973067681,-0.02531894961810992,-0.025194655278650155,-0.025201099436262597,-0.025191515825705963,0.007949359915908158,0.0015554376329220397,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
18,6,1,4,5.454286098480225,4.481587171554565,12.958400240999254,1.1773790980005288,3.4771132380010386,1.5294854679996206,0.0005499686855017188,0.0005499025369918018,-0.0896654723944351,-0.08966551664011409,-0.08966544588132025,-0.08966554579945206,0.0005497612130562107,0.0005497419767432088,-0.0896654723944351,-0.08966551664011409,-0.08966544588132025,-0.08966554579945206,0.03772441067602003,0.02919794650726986,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
18,12,0,4,5.885238885879517,6.190145969390869,11.51719442600006,1.0269044550004764,3.0968910999999935,1.2778418850011803,0.003207155428056196,0.0032072519817910317,-0.09840615318916607,-0.09840710125731933,-0.09840645260350561,-0.09840709514775013,0.0032065260507260374,0.0032062644174501503,-0.09840615318916607,-0.09840710125731933,-0.09840645260350561,-0.09840709514775013,0.019624160545912414,0.030791604354387735,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
18,12,0,8,60.02553200721741,60.021875858306885,11.257966244000272,1.0974723950002954,3.0274844849991496,1.692365933999099,0.0009386041209324862,0.001151214708570946,-0.09840567410315566,-0.09840689726729956,-0.09840683444297789,-0.09840710182532386,-0.0370728301122065,-0.028992995111190353,-0.09840567410315566,-0.09840689726729956,-0.09840683444297789,-0.09840710182532386,4049.783437491764,2618.4698297662167,0.0,0.0,0.0,0.0,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
18,12,1,4,5.70164680480957,3.6062188148498535,12.948092937000183,1.2637321620004514,3.101807010001721,1.5693181789993105,0.002178183144259216,0.0021780650799925194,-0.09868788715082345,-0.09868818322883063,-0.09868720461494813,-0.09868800967557713,0.0021772241670723106,0.0021774243820245893,-0.09868788715082345,-0.09868818322883063,-0.09868720461494813,-0.09868800967557713,0.044026471760777536,0.029415923969190256,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
18,12,1,8,60.02607989311218,60.0237820148468,12.665077445999486,1.0618979819992092,3.284765373000482,1.3019270059994597,0.000458034879114545,0.0007982833890105254,-0.09868764479664958,-0.09868812836919956,-0.09868777494385134,-0.09868804131744216,-0.032484848970403615,-0.037730773689628495,-0.09868764479664958,-0.09868812836919956,-0.09868777494385134,-0.09868804131744216,7192.221673860743,4826.488639128003,0.0,0.0,0.0,0.0,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
20,7,0,2,0.2719540596008301,0.21673107147216797,31.788085034999312,3.8350892059988837,9.09478227999898,4.506485030000476,0.006673745145554456,0.0066736957777105785,-0.023571772378157097,-0.023368973058946217,-0.023374606851306278,-0.023366637486304822,0.006673659127004504,0.006673486566125925,-0.023571772378157097,-0.023368973058946217,-0.023374606851306278,-0.023366637486304822,0.0012889097212326224,0.0031348684690173365,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,SLOW_PROGRESS,OPTIMAL,OPTIMAL,OPTIMAL
20,7,0,5,10.944690942764282,6.6002888679504395,21.491375457000686,2.0554313829998136,5.275506762000077,2.6403527930015116,0.0001586815382445451,0.0001586851845497321,-0.0886182956185052,-0.08861869287828526,-0.08861855664805914,-0.08861869008836151,0.0001584173553469758,0.00015839697902029034,-0.0886182956185052,-0.08861869287828526,-0.08861855664805914,-0.08861869008836151,0.16648622170663066,0.18162094354273517,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
20,7,1,2,0.2995460033416748,0.34270310401916504,28.71714358099962,3.720625078000012,7.385756867000964,4.126679797000179,0.005593147295865198,0.005593171554910423,-0.03557698519452722,-0.03546073329731527,-0.03546905499651786,-0.035462929090796486,0.005593057455012482,0.0055930796615558205,-0.03557698519452722,-0.03546073329731527,-0.03546905499651786,-0.035462929090796486,0.00160626652516117,0.0016429561242779557,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
20,7,1,5,8.317680835723877,8.804206848144531,21.895257308999135,1.8782512289999431,5.1606126070000755,2.567021017001025,4.17690053384945e-5,4.181612461735514e-5,-0.0958780477813993,-0.09587855455401324,-0.09587832035693163,-0.0958785688409459,4.1604148779004324e-5,4.154226999852667e-5,-0.0958780477813993,-0.09587855455401324,-0.09587832035693163,-0.0958785688409459,0.3946863425503713,0.6549019578796816,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
20,13,0,4,5.72540020942688,5.901560068130493,21.603569683000387,1.6258168330004992,4.891746880999563,2.346275597001295,0.0022645110505344953,0.002264511189330771,-0.09899127372346507,-0.09899164911081204,-0.09899114641875707,-0.09899162344268589,0.0022644236589607013,0.0022644075957545195,-0.09899127372346507,-0.09899164911081204,-0.09899114641875707,-0.09899162344268589,0.003859180716885406,0.004574655084046161,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
20,13,0,9,60.02715992927551,60.0327570438385,19.340556948000085,1.6807972860005975,5.179027870999562,2.133485431999361,0.00047974558756300585,0.0007627235845903274,-0.09899114767016444,-0.09899137702304886,-0.09899097550767155,-0.0989916647335587,-0.06390936891236809,-0.06458072984278979,-0.09899114767016444,-0.09899137702304886,-0.09899097550767155,-0.0989916647335587,13421.512603589033,8567.12113635207,0.0,0.0,0.0,0.0,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
20,13,1,4,7.069249868392944,6.866225957870483,23.142007307998938,1.9785084989998722,5.2921443120012555,2.0300811910001357,0.0027232081977250633,0.0027232192889033507,-0.09853966531940546,-0.09854001461434524,-0.09853947862149323,-0.09853987527263523,0.002723080882693869,0.0027228903836087164,-0.09853966531940546,-0.09854001461434524,-0.09853947862149323,-0.09853987527263523,0.004675185367779473,0.01207781158038166,0.0,0.0,0.0,0.0,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
20,13,1,9,60.02597904205322,60.0310959815979,18.753858469999614,1.9534503539998695,5.715683110998725,1.9802585130000807,0.00032504885030740476,0.0005236633345358686,-0.09853985254552278,-0.09854005584245308,-0.09853960229896915,-0.09854004605877272,-0.06410656517208307,-0.05352964096079296,-0.09853985254552278,-0.09854005584245308,-0.09853960229896915,-0.09854004605877272,19822.132569137317,10322.14797761947,0.0,0.0,0.0,0.0,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
